cfg,n,risk,final,ret,cagr,mdd,prof_mo,worst_month,worst_streak,kelly,mc_end_p5,mc_end_p50,mc_end_p95,mc_p_profit,mc_p_double,mc_p_triple,mc_p_halve,mc_p_dd15,mc_p_dd30,mc_p_dd50,mc_dd_p5
MR|MR-RR3,300,0.005,134.0797645292338,0.340797645292338,0.1212214301930985,-0.2999764633933619,11/30,-0.07041125796448633,6,0.083,112.3789580909832,146.25816342313396,192.6219057781927,0.99175,0.03025,0.0,0.0,0.0515,0.0,0.0,-0.15044143734034918
MR|MR-RR3,300,0.01,152.3775919049187,0.5237759190491869,0.17860305752591787,-0.5233430359167803,11/30,-0.13822054854831378,6,0.083,123.20906777509192,208.26748137220804,360.3277337106562,0.98875,0.5585,0.13025,0.0,0.631,0.0345,0.0,-0.2827230252060475
MR|MR-RR3,300,0.02,137.66732179527045,0.3766732179527046,0.13283208225977372,-0.7968080467796252,11/30,-0.2661497536717242,6,0.083,137.7609607407262,390.4562417342007,1157.5924049684415,0.98675,0.8525,0.659,0.00075,0.99875,0.54875,0.04725,-0.49555054209686533
MR|MR-RR3,300,0.03,86.09083795761559,-0.13909162042384404,-0.056758000302008615,-0.923201409244146,11/30,-0.4056379725093274,6,0.083,140.2350153149089,661.232554938357,3330.467686394306,0.9815,0.898,0.794,0.00475,1.0,0.9465,0.30175,-0.6545222356926818
MR|MR-RR3,300,0.05,12.825919458586915,-0.8717408054141309,-0.5512376921253974,-0.9931977426965434,11/30,-0.6875635709181733,6,0.083,110.91524589161311,1419.6482949434444,20116.78408331743,0.95675,0.89775,0.84825,0.01325,1.0,0.99975,0.87575,-0.8513165547896455
MR|MR-RR3,300,0.08,0.0,-1.0,-1.0,-1.0,2/11,-1.0,7,0.083,41.139710268402595,2252.9352771432336,142630.351529965,0.898,0.84725,0.79325,0.06,1.0,1.0,0.99925,-0.967605436449738
MR|MR-RR3,300,0.12,-0.0,-1.0,-1.0,-1.0,2/11,-1.0,7,0.083,3.579871331931489,1275.9732212186725,546313.5170771563,0.76275,0.706,0.65825,0.17825,1.0,1.0,1.0,-0.9977494427323044
PORT70/30|T25-ASIS+MR-RR1.5,7366,1%/1%,60.69474541422758,-0.3930525458577242,-0.1762624104752053,-0.9442389696754661,11/30,-0.7666801337862356,6,,47.16200825254028,503.42269127608813,6687.213257598651,0.86975,0.74525,0.6395,0.054,1.0,1.0,0.9365,-0.8873905938202327
PORT70/30|T25-ASIS+MR-RR1.5,7366,2%/2%,71.91953140396103,-0.28080468596038966,-0.12015150017955589,-0.9018302814001946,15/30,-0.49188008654237425,4,,3.775644730701619,322.33489959025496,44614.755823060026,0.66725,0.5735,0.511,0.24,1.0,1.0,1.0,-0.995139568733403
PORT70/30|T25-ASIS+MR-RR1.5,7366,3%/3%,83.4735494228231,-0.165264505771769,-0.06774592959501224,-0.9002661091669298,14/30,-0.29865452251870983,4,,0.060859144102379685,37.471868995881685,40702.48089046828,0.4095,0.34375,0.3205,0.5265,1.0,1.0,1.0,-0.9999337128903804
PORT70/30|T25-ASIS+MR-RR1.5,7366,5%/5%,72.85321001313586,-0.2714678998686414,-0.1157332034999572,-0.9629478660023864,15/30,-0.3362471468509439,4,,2.920129749227644e-07,0.0068901196030789775,290.8033060227615,0.07175,0.05725,0.04975,0.91175,1.0,1.0,1.0,-0.9999999996883074
PORT70/30|T25-TP1.5+MR-RR1.5,11204,1%/1%,52.28374064644711,-0.4771625935355289,-0.22140035622401566,-0.7955187477507835,14/31,-0.2672596434232325,8,,3.3008686742388824,14.323192572499114,65.31279111255816,0.0195,0.0015,0.00075,0.91425,1.0,1.0,0.99575,-0.9730969047058698
PORT70/30|T25-TP1.5+MR-RR1.5,11204,2%/2%,71.91935899066617,-0.2808064100933383,-0.11944796881020214,-0.895078819461178,13/31,-0.3353587919336237,8,,0.05065204800609538,0.9494247130959521,19.684581086031187,0.005,0.00125,0.001,0.9835,1.0,1.0,1.0,-0.9996498658775023
PORT70/30|T25-TP1.5+MR-RR1.5,11204,3%/3%,83.4735494228217,-0.16526450577178298,-0.06733701544542381,-0.942289987259175,15/31,-0.29861679865973234,4,,0.000362613656151723,0.029241330776531425,2.735284937187974,0.001,0.001,0.00075,0.997,1.0,1.0,1.0,-0.9999978425995036
PORT70/30|T25-TP1.5+MR-RR1.5,11204,5%/5%,72.85321001313586,-0.2714678998686414,-0.11505303190172933,-0.9848527795898349,14/31,-0.3362471468513095,4,,1.905914894598795e-09,2.8232256738176686e-06,0.005318153381694529,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.9999999999905835
PORT70/30|T25-TP2.0+MR-RR1.5,10241,1%/1%,52.32605905620418,-0.47673940943795823,-0.22091751263377302,-0.7872123126510617,14/31,-0.31578377942394875,4,,3.872654063275811,18.43425089110176,92.04687391473651,0.042,0.00775,0.0015,0.84,1.0,1.0,0.99425,-0.9713870526242802
PORT70/30|T25-TP2.0+MR-RR1.5,10241,2%/2%,71.91935779358509,-0.2808064220641491,-0.1193100606379871,-0.8840124979294783,15/31,-0.35790659901758093,4,,0.06176853846924511,1.3842013542792992,34.04753969703769,0.0165,0.00425,0.0025,0.9655,1.0,1.0,1.0,-0.9996468933912651
PORT70/30|T25-TP2.0+MR-RR1.5,10241,3%/3%,83.47354942282165,-0.16526450577178353,-0.06725696620497679,-0.9330011451208836,16/31,-0.29663554700138994,4,,0.00040727101655275955,0.042684174083499116,5.136301835716943,0.00325,0.00125,0.00075,0.992,1.0,1.0,1.0,-0.9999980878541866
PORT70/30|T25-TP2.0+MR-RR1.5,10241,5%/5%,72.85321001313586,-0.2714678998686414,-0.11491985486713918,-0.9807100679870918,15/31,-0.3362471468507131,4,,1.2964944350877289e-09,2.946105573888527e-06,0.008236396456622289,0.00025,0.00025,0.00025,0.99975,1.0,1.0,1.0,-0.9999999999953485
PORT70/30|T25-TP2.0+MR-RR2,10230,1%/1%,61.48578797313845,-0.3851421202686155,-0.17094009543939748,-0.8129498317966287,15/31,-0.317942906396982,5,,4.144614228172578,19.940118001294493,97.7476136099117,0.04825,0.00575,0.0015,0.841,1.0,1.0,0.99425,-0.9686250537063702
PORT70/30|T25-TP2.0+MR-RR2,10230,2%/2%,90.36286843414163,-0.0963713156585837,-0.038305995126436065,-0.9159545305210214,13/31,-0.36415693394209037,5,,0.07066216859511616,1.6166713722474493,38.37139121997935,0.01475,0.0035,0.002,0.96425,1.0,1.0,1.0,-0.9995653450034753
PORT70/30|T25-TP2.0+MR-RR2,10230,3%/3%,105.32366061088608,0.05323660610886072,0.020192999012094592,-0.9596015820114081,13/31,-0.3033211952250816,5,,0.0005005422094501265,0.05386671868944429,6.115369958312253,0.002,0.00125,0.00075,0.994,1.0,1.0,1.0,-0.9999973844689721
PORT70/30|T25-TP2.0+MR-RR2,10230,5%/5%,81.36169704242928,-0.18638302957570718,-0.07642423544916177,-0.9923210364729469,11/31,-0.45455592412688284,5,,1.8683518472219208e-09,4.2996461205508805e-06,0.01081769546854181,0.0,0.0,0.0,0.99975,1.0,1.0,1.0,-0.9999999999916177
