sym,mcap,sector,exchange,n,wr,pf,nr,mdd,hv30,adx,atr_rank,ema200_slope,bb_width,rel_vol,hurst,daily_range,avg_vol_usdt,profitable,trade_freq,vol_class,trend_class,liq_class,dna_score
SAND,Mid,Gaming,KuCoin,3,0.3333,0.8492,-0.0,-0.0112,0.754700274908632,26.827170337007367,0.011258232134342325,-9.301662892619456e-05,0.024680991772568044,0.7890101144174845,0.6763886779248328,0.009781093692830648,17000.1978,0,0.17341040462427745,Low,Trending,Low,0.757
GRT,Mid,Infrastructure,KuCoin,3,0.3333,0.8183,-0.0,-0.0234,0.785002500180999,25.772662808237676,0.011886163141351096,-0.00011973856363949953,0.025877193224613893,0.7716885455924519,0.6754586984992228,0.010306612669824695,17739.093249999998,0,0.17341040462427745,Medium,Trending,Medium,0.829
ICP,Mid,Infrastructure,KuCoin,10,0.3,0.7552,-0.1,-0.0434,0.7777472734753115,25.531877139265717,0.01269175272352591,-8.646823022196877e-05,0.025217309845492683,0.7923259056486538,0.6684836388934453,0.011334156058016005,6833272.068,0,0.5780346820809248,Medium,Trending,High,0.691
SUSHI,Small,DeFi,KuCoin,5,0.2,0.4351,-0.4,-0.0431,0.8645609865285101,26.004481155846413,0.013063119150214417,-8.696797506167671e-05,0.027918849437415745,0.7776981374089417,0.6759658136921122,0.011563876651982326,23616.1891,0,0.2890173410404624,High,Trending,Medium,0.883
1INCH,Small,DeFi,KuCoin,6,0.1667,0.3486,-0.5,-0.0547,0.7225816149636114,25.284256370349418,0.010014510490750536,-7.270334225859626e-05,0.022984898853524113,0.5700237074137257,0.6675181115422378,0.00820737657660374,3784.5723500000004,0,0.3468208092485549,Low,Trending,Low,0.556
FET,Mid,AI,KuCoin,7,0.1429,0.2971,-0.5714,-0.0455,0.9450749542991133,26.496623690864915,0.015844491386319666,-0.00012166390206421121,0.030540688410136838,0.8355188821047611,0.674711554974693,0.013925945884900232,10837.1974,0,0.40462427745664736,High,Trending,Low,0.635
TRX,Large,Layer 1,OKX,3,0.0,0.0,-1.0,-0.0445,0.26174532594063155,26.812025496484292,0.004292176232339052,3.788307946183579e-05,0.009383605724145561,0.8270449286206816,0.6936775463383472,0.0038105226359027434,782.751006,0,0.17341040462427745,Low,Trending,Low,0.0
EGLD,Mid,Infrastructure,KuCoin,0,0.0,0.0,0.0,0.0,0.7521147874018694,25.702176634236,0.010756984532087253,-0.0001243807877233251,0.02454934423451566,0.6105621674668309,0.6723157214014109,0.008989168070656054,537096.38,0,0.0,Low,Trending,High,0.6
ALGO,Mid,Layer 1,KuCoin,3,0.0,0.0,-1.0,-0.0335,0.7701666371235594,26.902182671635206,0.012139220337685101,-4.693920146491416e-05,0.02522534943051278,0.8296256958874046,0.6723774390930986,0.01096309336410077,43800.63671,0,0.17341040462427745,Medium,Trending,Medium,0.696
CRV,Mid,DeFi,KuCoin,3,0.0,0.0,-1.0,-0.0335,0.9192698177418529,25.850057902171653,0.01465234986072775,-3.4226974772503194e-05,0.029329828340907946,0.7851628201686897,0.671904941905996,0.01332202606129691,75678.4096,0,0.17341040462427745,High,Trending,Medium,0.68
