sym,fold,entry_time,exit_time,pnl,r_multiple,win,exit_type
GALA-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-116.8454,-1.028,0,SL
GALA-USDT-SWAP,F4,2026-06-28T16:00:00.000,2026-06-28T17:00:00.000,-119.179,-1.0319,0,SL
GALA-USDT-SWAP,F4,2026-06-30T22:00:00.000,2026-07-01T01:00:00.000,-116.4414,-1.0273,0,SL
GALA-USDT-SWAP,F5,2026-07-29T05:00:00.000,2026-07-29T19:00:00.000,-115.7853,-1.0262,0,SL
GMX-USDT-SWAP,F1,2026-03-22T01:00:00.000,2026-03-22T03:00:00.000,187.1876,2.0,1,TP
GMX-USDT-SWAP,F1,2026-03-27T12:00:00.000,2026-03-27T13:00:00.000,187.7025,2.0,1,TP
GMX-USDT-SWAP,F3,2026-05-29T16:00:00.000,2026-05-30T00:00:00.000,188.641,2.0,1,TP
GRT-USDT-SWAP,F1,2026-03-27T12:00:00.000,2026-03-28T01:00:00.000,-122.9207,-1.0381,0,SL
GRT-USDT-SWAP,F3,2026-05-18T16:00:00.000,2026-05-18T18:00:00.000,-117.467,-1.029,0,SL
GRT-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-116.1054,-1.0267,0,SL
HBAR-USDT-SWAP,F1,2026-03-22T23:00:00.000,2026-03-23T07:00:00.000,-123.3585,-1.0388,0,SL
HBAR-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,183.5072,2.0,1,TP
HBAR-USDT-SWAP,F3,2026-05-27T23:00:00.000,2026-05-28T03:00:00.000,-125.6413,-1.0426,0,SL
HBAR-USDT-SWAP,F4,2026-06-29T00:00:00.000,2026-06-29T03:00:00.000,183.2336,2.0,1,TP
HBAR-USDT-SWAP,F4,2026-06-30T19:00:00.000,2026-06-30T20:00:00.000,-118.9316,-1.0315,0,SL
ICP-USDT-SWAP,F1,2026-03-19T14:00:00.000,2026-03-19T15:00:00.000,-117.8319,-1.0296,0,SL
ICP-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,185.0723,2.0,1,TP
ICP-USDT-SWAP,F3,2026-05-18T01:00:00.000,2026-05-18T07:00:00.000,-114.5959,-1.0242,0,SL
IMX-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,188.0683,2.0,1,TP
IMX-USDT-SWAP,F2,2026-04-05T14:00:00.000,2026-04-05T16:00:00.000,-121.974,-1.0365,0,SL
IMX-USDT-SWAP,F5,2026-07-01T01:00:00.000,2026-07-01T14:00:00.000,189.4372,2.0,1,TP
INJ-USDT-SWAP,F1,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,185.4529,2.0,1,TP
INJ-USDT-SWAP,F4,2026-06-20T15:00:00.000,2026-06-21T16:00:00.000,-111.8493,-1.0197,0,SL
LDO-USDT-SWAP,F3,2026-05-18T01:00:00.000,2026-05-18T10:00:00.000,-115.2125,-1.0253,0,SL
LDO-USDT-SWAP,F4,2026-06-10T14:00:00.000,2026-06-10T16:00:00.000,-113.8052,-1.0229,0,SL
LDO-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-113.7068,-1.0227,0,SL
SAND-USDT-SWAP,F4,2026-06-14T16:00:00.000,2026-06-14T21:00:00.000,185.3709,2.0,1,TP
