sym,fold,env,entry_time,exit_time,pnl,r_multiple,win,exit_type,holding_bars
CHZ-USDT-SWAP,4,,2026-04-15T19:00:00.000,2026-04-16T00:00:00.000,193.6415,2.0,1,TP,5
CHZ-USDT-SWAP,4,,2026-04-16T18:00:00.000,2026-04-17T03:00:00.000,-108.8379,-1.0146,0,SL,9
CHZ-USDT-SWAP,4,,2026-04-23T21:00:00.000,2026-04-23T23:00:00.000,193.1973,2.0,1,TP,2
CRV-USDT-SWAP,1,,2025-10-02T19:00:00.000,2025-10-02T20:00:00.000,-114.8274,-1.0246,0,SL,1
CRV-USDT-SWAP,4,,2026-04-16T16:00:00.000,2026-04-16T17:00:00.000,-114.8915,-1.0247,0,SL,1
CRV-USDT-SWAP,5,,2026-06-11T18:00:00.000,2026-06-11T19:00:00.000,-105.7637,-1.0095,0,SL,1
FET-USDT-SWAP,2,,2025-11-19T22:00:00.000,2025-11-20T03:00:00.000,-105.1847,-1.0085,0,SL,5
FET-USDT-SWAP,3,,2026-01-07T15:00:00.000,2026-01-07T16:00:00.000,-108.0059,-1.0132,0,SL,1
FET-USDT-SWAP,3,,2026-01-08T16:00:00.000,2026-01-08T17:00:00.000,-107.4895,-1.0124,0,SL,1
FET-USDT-SWAP,3,E4,2026-02-25T20:00:00.000,2026-02-25T22:00:00.000,-113.8602,-1.023,0,SL,2
FET-USDT-SWAP,4,,2026-03-12T22:00:00.000,2026-03-12T23:00:00.000,192.5013,2.0,1,TP,1
FET-USDT-SWAP,4,,2026-03-18T19:00:00.000,2026-03-19T08:00:00.000,-106.6572,-1.011,0,SL,13
FET-USDT-SWAP,4,,2026-03-25T20:00:00.000,2026-03-25T21:00:00.000,-106.7901,-1.0112,0,SL,1
ETC-USDT-SWAP,3,,2026-01-14T15:00:00.000,2026-01-14T16:00:00.000,187.0814,2.0,1,TP,1
ETC-USDT-SWAP,3,,2026-01-14T20:00:00.000,2026-01-14T22:00:00.000,-116.0409,-1.0266,0,SL,2
ETC-USDT-SWAP,3,,2026-02-25T16:00:00.000,2026-02-25T19:00:00.000,190.6171,2.0,1,TP,3
ETC-USDT-SWAP,3,,2026-02-25T22:00:00.000,2026-02-25T23:00:00.000,-113.8249,-1.0229,0,SL,1
GALA-USDT-SWAP,1,,2025-08-13T16:00:00.000,2025-08-13T23:00:00.000,191.7643,2.0,1,TP,7
GALA-USDT-SWAP,1,,2025-10-02T19:00:00.000,2025-10-03T00:00:00.000,-115.9008,-1.0264,0,SL,5
GALA-USDT-SWAP,3,,2026-02-25T22:00:00.000,2026-02-25T23:00:00.000,-110.8919,-1.0181,0,SL,1
GALA-USDT-SWAP,4,,2026-04-16T16:00:00.000,2026-04-17T16:00:00.000,193.6086,2.0,1,TP,24
GRT-USDT-SWAP,3,,2026-02-25T20:00:00.000,2026-02-25T21:00:00.000,-117.3024,-1.0287,0,SL,1
