label,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,r_multiple,fees,spread_cost,sl_slippage,holding_minutes,funding_windows_crossed,win,exit_type
Liq.Sweep,2026-06-20 15:00:00+00:00,2026-06-22 01:00:00+00:00,71.9,74.84,70.43,74.84,194.01061224489797,2.0,4.991156462585038,0.9982312925170076,0.0,2040,4,True,TP
Liq.Sweep,2026-06-22 20:00:00+00:00,2026-06-22 21:00:00+00:00,72.66,72.388277,72.41,73.16,-152.1899864799955,-1.0868919999999775,29.0096554,5.80193108,8.689199999997754,60,0,False,SL
Liq.Sweep,2026-06-26 14:00:00+00:00,2026-06-29 17:00:00+00:00,70.68,75.76000000000002,68.14,75.76000000000002,196.54078740157482,2.0,2.882677165354324,0.5765354330708649,0.0,4500,9,True,TP
Liq.Sweep,2026-06-30 03:00:00+00:00,2026-06-30 04:00:00+00:00,74.56,73.957806,73.98,75.72,-123.01701441379282,-1.0382655172413775,12.803259137931075,2.560651827586215,3.8265517241377593,60,0,False,SL
Liq.Sweep,2026-06-30 14:00:00+00:00,2026-07-01 02:00:00+00:00,72.84,74.80000000000001,71.86,74.80000000000001,190.96081632653065,2.0,7.53265306122446,1.506530612244892,0.0,720,1,True,TP
Liq.Sweep,2026-07-01 21:00:00+00:00,2026-07-02 09:00:00+00:00,77.38,79.01999999999998,76.56,79.01999999999998,188.5560975609755,2.0,9.536585365853737,1.9073170731707474,0.0,720,1,True,TP
Liq.Sweep,2026-07-04 21:00:00+00:00,2026-07-04 23:00:00+00:00,81.93,81.50554100000001,81.53,82.73000000000002,-136.74483114999603,-1.061147499999982,20.429442624999712,4.085888524999943,6.114749999998194,120,0,False,SL
Liq.Sweep,2026-07-05 20:00:00+00:00,2026-07-05 21:00:00+00:00,81.0,81.53999999999999,80.73,81.53999999999999,163.87999999999946,2.0,30.100000000000446,6.020000000000089,0.0,60,0,True,TP
Liq.Sweep,2026-07-06 14:00:00+00:00,2026-07-06 16:00:00+00:00,80.11,81.99,79.17,81.99,189.65319148936166,2.0,8.622340425531934,1.724468085106387,0.0,120,0,True,TP
Liq.Sweep,2026-07-07 06:00:00+00:00,2026-07-07 16:00:00+00:00,81.05,82.33,80.41,82.33,184.68312500000002,2.0,12.764062499999987,2.5528124999999977,0.0,600,1,True,TP
Liq.Sweep,2026-07-07 23:00:00+00:00,2026-07-08 01:00:00+00:00,80.8,80.245919,80.27,81.86,-127.31878328301707,-1.045435849056595,15.193011226415063,3.0386022452830126,4.5435849056594915,120,0,False,SL
Liq.Sweep,2026-07-10 14:00:00+00:00,2026-07-10 15:00:00+00:00,78.93,78.686387,78.71,79.37000000000003,-164.45265099999386,-1.1073318181818002,35.82190613636151,7.164381227272303,10.733181818180018,60,0,False,SL
Liq.Sweep,2026-07-21 16:00:00+00:00,2026-07-21 17:00:00+00:00,78.1,77.726675,77.75,78.79999999999998,-140.04171571428625,-1.0666428571428577,22.26095357142893,4.452190714285786,6.66428571428577,60,0,False,SL
Liq.Sweep,2026-07-23 07:00:00+00:00,2026-07-23 08:00:00+00:00,77.53,77.28680700000001,77.31,77.97,-163.3073109999931,-1.1054227272726915,35.18563795454564,7.037127590909128,10.542272727269157,60,0,False,SL
Liq.Sweep,2026-07-27 10:00:00+00:00,2026-07-27 13:00:00+00:00,76.44,77.13999999999999,76.09,77.13999999999999,173.67199999999954,2.0,21.940000000000353,4.388000000000071,0.0,180,0,True,TP
Brk.Structure,2026-05-08 15:00:00+00:00,2026-05-08 17:00:00+00:00,89.1,90.73999999999998,88.28,90.73999999999998,186.840975609756,2.0,10.965853658536675,2.193170731707335,0.0,120,0,True,TP
Brk.Structure,2026-05-08 18:00:00+00:00,2026-05-10 17:00:00+00:00,91.63,95.85,89.52,95.85,194.6688151658768,2.0,4.44265402843602,0.888530805687204,0.0,2820,5,True,TP
Brk.Structure,2026-05-10 18:00:00+00:00,2026-05-10 20:00:00+00:00,96.44,94.721575,94.75,99.82,-110.15070680473357,-1.0168195266272182,5.655667899408291,1.1311335798816584,1.6819526627218122,120,0,False,SL
Brk.Structure,2026-05-11 17:00:00+00:00,2026-05-12 01:00:00+00:00,97.29,96.411068,96.44,98.99000000000002,-120.4805459764698,-1.0340376470588202,11.394180470588122,2.2788360941176244,3.4037647058820264,480,1,False,SL
Brk.Structure,2026-06-13 16:00:00+00:00,2026-06-13 17:00:00+00:00,68.55,68.099564,68.12,69.40999999999998,-128.57249730232778,-1.0475255813953581,15.889484186046785,3.177896837209357,4.75255813953582,60,0,False,SL
Brk.Structure,2026-06-13 22:00:00+00:00,2026-06-14 05:00:00+00:00,69.22,68.159546,68.18,71.29999999999998,-111.85920457692333,-1.0196673076923086,6.604785865384666,1.3209571730769332,1.9667307692308669,420,0,False,SL
Brk.Structure,2026-06-14 22:00:00+00:00,2026-06-15 15:00:00+00:00,70.11,74.83,67.75,74.83,196.3150847457627,2.0,3.0707627118644076,0.6141525423728815,0.0,1020,2,True,TP
Brk.Structure,2026-06-15 16:00:00+00:00,2026-06-15 22:00:00+00:00,75.2,73.707881,73.73,78.14,-109.08726044898008,-1.0150469387755126,5.06489391156463,1.012978782312926,1.5046938775512633,360,0,False,SL
Brk.Structure,2026-06-20 23:00:00+00:00,2026-06-21 23:00:00+00:00,73.53,72.288307,72.31,75.97,-110.72762165573756,-1.0177811475409828,5.976160122950826,1.195232024590165,1.7781147540982865,1440,3,False,SL
Brk.Structure,2026-06-26 16:00:00+00:00,2026-06-27 22:00:00+00:00,72.01,70.248919,70.27,75.49000000000002,-107.32858341379251,-1.0121155172413765,4.0878999712643465,0.8175799942528693,1.2115517241376512,1800,3,False,SL
Brk.Structure,2026-06-29 04:00:00+00:00,2026-06-29 05:00:00+00:00,72.64,72.12835500000001,72.15,73.61999999999999,-126.56143122448698,-1.04417346938774,14.772281122449137,2.954456224489827,4.417346938773998,60,0,False,SL
Brk.Structure,2026-06-29 18:00:00+00:00,2026-06-30 04:00:00+00:00,75.27,73.947809,73.97,77.86999999999999,-110.30097579999884,-1.0170699999999941,5.739146500000014,1.1478293000000028,1.7069999999994114,600,1,False,SL
Brk.Structure,2026-07-01 03:00:00+00:00,2026-07-01 14:00:00+00:00,74.74,76.75999999999998,73.73,76.75999999999998,190.99999999999994,2.0,7.500000000000067,1.5000000000000133,0.0,660,1,True,TP
Brk.Structure,2026-07-01 15:00:00+00:00,2026-07-02 09:00:00+00:00,76.92,79.56000000000002,75.6,79.56000000000002,192.88727272727274,2.0,5.927272727272696,1.185454545454539,0.0,1080,2,True,TP
Brk.Structure,2026-07-02 10:00:00+00:00,2026-07-02 11:00:00+00:00,79.43,81.79000000000002,78.25,81.79000000000002,191.80237288135595,2.0,6.831355932203352,1.3662711864406705,0.0,60,0,True,TP
Brk.Structure,2026-07-02 12:00:00+00:00,2026-07-02 13:00:00+00:00,82.33,81.445559,81.47,84.05,-117.11015527906883,-1.0284197674418558,9.521834825581402,1.9043669651162805,2.841976744185576,60,0,False,SL
Brk.Structure,2026-07-03 20:00:00+00:00,2026-07-04 01:00:00+00:00,82.45,82.01538800000002,82.04,83.27,-136.07395921950788,-1.0600292682926604,20.05675463414651,4.011350926829302,6.002926829266033,300,0,False,SL
Brk.Structure,2026-07-04 05:00:00+00:00,2026-07-04 06:00:00+00:00,83.45,82.59521400000001,82.62,85.11,-117.97579860240768,-1.0298626506023998,10.00272373493978,2.000544746987956,2.986265060239977,60,0,False,SL
Brk.Structure,2026-07-05 22:00:00+00:00,2026-07-06 03:00:00+00:00,81.74,80.715778,80.74,83.74,-114.59174667999893,-1.0242219999999946,8.1227889,1.62455778,2.4221999999994637,300,0,False,SL
Brk.Structure,2026-07-06 22:00:00+00:00,2026-07-06 23:00:00+00:00,82.79,81.97540000000001,82.0,84.37000000000002,-118.741675949365,-1.0311392405063193,10.42818987341764,2.085637974683528,3.1139240506319252,60,0,False,SL
Brk.Structure,2026-07-15 06:00:00+00:00,2026-07-15 07:00:00+00:00,78.22,77.57672,77.6,79.46000000000001,-122.58677935483848,-1.0375483870967734,12.564251612903133,2.512850322580627,3.754838709677351,60,0,False,SL
Brk.Structure,2026-07-20 16:00:00+00:00,2026-07-23 15:00:00+00:00,77.73,76.027185,76.05,81.09000000000002,-108.20739946428499,-1.0135803571428537,4.576106696428553,0.9152213392857106,1.358035714285367,4260,8,False,SL
VWAP.Pullback,2026-05-07 11:00:00+00:00,2026-05-07 12:00:00+00:00,89.12,89.94000000000003,88.71,89.94000000000003,173.79609756097628,2.0,21.836585365853086,4.367317073170618,0.0,60,0,True,TP
VWAP.Pullback,2026-05-08 13:00:00+00:00,2026-05-08 14:00:00+00:00,88.4,88.27351,88.3,88.60000000000002,-146.4842228506784,-1.264899999999932,49.96422794117647,9.992845588235294,14.983031674205577,60,0,False,SL
VWAP.Pullback,2026-05-08 15:00:00+00:00,2026-05-08 17:00:00+00:00,89.1,90.73999999999998,88.28,90.73999999999998,186.840975609756,2.0,10.965853658536675,2.193170731707335,0.0,120,0,True,TP
VWAP.Pullback,2026-05-09 16:00:00+00:00,2026-05-10 09:00:00+00:00,92.95,94.19000000000001,92.33,94.19000000000001,181.88967741935497,2.0,15.09193548387086,3.018387096774172,0.0,1020,2,True,TP
VWAP.Pullback,2026-05-10 12:00:00+00:00,2026-05-10 16:00:00+00:00,93.5,94.80000000000001,92.85,94.80000000000001,182.61846153846167,2.0,14.48461538461526,2.896923076923052,0.0,240,0,True,TP
VWAP.Pullback,2026-05-12 02:00:00+00:00,2026-05-12 08:00:00+00:00,96.21,95.42136500000001,95.45,97.72999999999998,-122.66431828947243,-1.0376776315789402,12.607326644736993,2.5214653289473987,3.767763157894018,360,0,False,SL
VWAP.Pullback,2026-05-13 03:00:00+00:00,2026-05-13 04:00:00+00:00,95.17,95.59000000000002,94.96,95.59000000000002,145.49714285714492,2.0,45.419047619045905,9.083809523809181,0.0,60,0,True,TP
VWAP.Pullback,2026-05-13 08:00:00+00:00,2026-05-13 09:00:00+00:00,95.08,95.61999999999999,94.81,95.61999999999999,157.62222222222158,2.0,35.314814814815335,7.062962962963067,0.0,60,0,True,TP
VWAP.Pullback,2026-05-22 12:00:00+00:00,2026-05-22 14:00:00+00:00,87.29,86.634002,86.66,88.55000000000003,-124.81752400000002,-1.0412666666666681,13.80349222222201,2.7606984444444023,4.126666666666809,120,0,False,SL
VWAP.Pullback,2026-06-12 15:00:00+00:00,2026-06-12 20:00:00+00:00,67.88,66.560026,66.58,70.47999999999999,-109.2778473538469,-1.0153646153846192,5.170770230769242,1.0341540461538483,1.5364615384619127,300,0,False,SL
VWAP.Pullback,2026-06-14 06:00:00+00:00,2026-06-14 09:00:00+00:00,68.22,67.95960600000001,67.98,68.69999999999999,-151.03990149999777,-1.0849749999999851,28.370751250000605,5.674150250000121,8.497499999998526,180,0,False,SL
VWAP.Pullback,2026-06-17 19:00:00+00:00,2026-06-17 20:00:00+00:00,73.45,72.108361,72.13,76.09000000000002,-109.89492549999895,-1.0163931818181766,5.513574280303001,1.1027148560606002,1.6393181818176654,60,0,False,SL
VWAP.Pullback,2026-06-20 15:00:00+00:00,2026-06-22 01:00:00+00:00,71.9,74.84,70.43,74.84,194.01061224489797,2.0,4.991156462585038,0.9982312925170076,0.0,2040,4,True,TP
VWAP.Pullback,2026-06-22 07:00:00+00:00,2026-06-22 08:00:00+00:00,73.67,73.99,73.51,73.99,144.62749999999883,2.0,46.143750000000985,9.228750000000197,0.0,60,0,True,TP
VWAP.Pullback,2026-06-22 10:00:00+00:00,2026-06-22 11:00:00+00:00,73.75,74.19,73.53,74.19,159.65272727272708,2.0,33.622727272727445,6.724545454545489,0.0,60,0,True,TP
VWAP.Pullback,2026-06-22 12:00:00+00:00,2026-06-22 14:00:00+00:00,74.15,73.587917,73.61,75.23000000000002,-124.59421299999784,-1.0408944444444346,13.6794367592591,2.73588735185182,4.0894444444434646,120,0,False,SL
VWAP.Pullback,2026-06-27 12:00:00+00:00,2026-06-27 13:00:00+00:00,71.76,72.30000000000003,71.49,72.30000000000003,167.98666666666787,2.0,26.677777777776775,5.335555555555355,0.0,60,0,True,TP
VWAP.Pullback,2026-06-27 15:00:00+00:00,2026-06-27 17:00:00+00:00,72.66,72.12835500000001,72.15,73.67999999999998,-125.52215941176219,-1.042441176470574,14.194936764706137,2.8389873529412277,4.2441176470574025,120,0,False,SL
VWAP.Pullback,2026-06-28 14:00:00+00:00,2026-06-28 16:00:00+00:00,71.7,71.248619,71.27,72.56000000000002,-129.8909700930186,-1.0497232558139318,16.621932441860206,3.324386488372041,4.972325581393175,120,0,False,SL
VWAP.Pullback,2026-06-28 17:00:00+00:00,2026-06-28 18:00:00+00:00,71.52,71.07867,71.1,72.36,-130.52838142856743,-1.0507857142856947,16.976032142857076,3.395206428571415,5.078571428569469,60,0,False,SL
VWAP.Pullback,2026-06-29 01:00:00+00:00,2026-06-29 12:00:00+00:00,71.62,74.26000000000002,70.3,74.26000000000002,193.36909090909094,2.0,5.525757575757546,1.1051515151515092,0.0,660,1,True,TP
VWAP.Pullback,2026-06-29 15:00:00+00:00,2026-06-30 12:00:00+00:00,73.71,72.25831600000001,72.28,76.56999999999998,-109.15727199999913,-1.0151636363636318,5.103787272727299,1.0207574545454599,1.516363636363181,1260,2,False,SL
VWAP.Pullback,2026-06-30 21:00:00+00:00,2026-06-30 22:00:00+00:00,73.65,73.467953,73.49,73.97000000000003,-182.72798237499518,-1.1377937499999944,45.9743603124969,9.19487206249938,13.779374999999442,60,0,False,SL
VWAP.Pullback,2026-07-01 01:00:00+00:00,2026-07-01 02:00:00+00:00,73.6,74.16,73.32,74.16,168.33714285714296,2.0,26.385714285714176,5.277142857142835,0.0,60,0,True,TP
VWAP.Pullback,2026-07-03 07:00:00+00:00,2026-07-03 08:00:00+00:00,80.91,81.36999999999998,80.68,81.36999999999998,157.66608695651985,2.0,35.27826086956678,7.055652173913357,0.0,60,0,True,TP
VWAP.Pullback,2026-07-03 15:00:00+00:00,2026-07-04 04:00:00+00:00,81.65,83.23000000000002,80.86,83.23000000000002,187.47746835443047,2.0,10.435443037974602,2.0870886075949207,0.0,780,1,True,TP
VWAP.Pullback,2026-07-05 15:00:00+00:00,2026-07-05 16:00:00+00:00,81.41,80.94570900000001,80.97,82.28999999999999,-133.18077849999608,-1.055206818181798,18.449512386363736,3.689902477272747,5.520681818179792,60,0,False,SL
VWAP.Pullback,2026-07-05 17:00:00+00:00,2026-07-05 19:00:00+00:00,81.04,80.835742,80.86,81.40000000000002,-180.91191400000054,-1.1347666666666794,44.96548388888719,8.993096777777438,13.476666666667946,120,0,False,SL
VWAP.Pullback,2026-07-05 20:00:00+00:00,2026-07-05 21:00:00+00:00,81.0,81.53999999999999,80.73,81.53999999999999,163.87999999999946,2.0,30.100000000000446,6.020000000000089,0.0,60,0,True,TP
VWAP.Pullback,2026-07-05 22:00:00+00:00,2026-07-06 03:00:00+00:00,81.74,80.715778,80.74,83.74,-114.59174667999893,-1.0242219999999946,8.1227889,1.62455778,2.4221999999994637,300,0,False,SL
