sym,fold,entry_ts,exit_ts,pnl,win,sl_hit,tp_hit,timeout,bars_held,session,dow,rel_vol,entry_price,stop_loss,take_profit,atr_at_entry,mfe_r,mae_r,adx,bb_width,real_vol,ema_dist,ema_slope,body_pct,range_pct,hurst,atr_rank,month_label,year_label
CHZ-USDT-SWAP,F3,2026-05-18 14:00:00+00:00,2026-05-18 15:00:00+00:00,-108.719,0,1,0,0,1,US,0,1.6753170940091007,0.04779,0.046816887972030735,0.04973622405593852,0.0009731120279692605,0.17469725490369759,1.1406703114300212,15.90080048407106,0.06893531597357842,1.4163965924213746,5.052270358049517,0.004185336730648281,0.16666666666666988,1.5103838892385115,1.5233236099239245,80.0,2026-05,2026
CHZ-USDT-SWAP,F4,2026-06-11 15:00:00+00:00,2026-06-11 16:00:00+00:00,-106.3537,0,1,0,0,1,US,3,2.574158827674626,0.02946,0.028640954037223516,0.031098091925552972,0.0008190459627764855,0.14040726067455567,2.0267482845196705,20.209799336897866,0.12159082529068746,2.6917396273423866,4.3288716390667465,-0.002279459987976607,0.2611940298507458,4.603229130882861,1.656684573349875,100.0,2026-06,2026
DYDX-USDT-SWAP,F2,2026-04-20 15:00:00+00:00,2026-04-20 23:00:00+00:00,-106.3541,0,1,0,0,8,US,0,0.8659431412284688,0.14,0.13610793546078848,0.14778412907842312,0.0038920645392115463,0.27877235566596914,1.7086047605333874,16.52941963397488,0.07638724334158947,1.645174362912881,12.33742106566314,0.01088111703834315,0.5129151291512942,1.9551258927927206,1.25658353244201,9.0,2026-04,2026
DYDX-USDT-SWAP,F4,2026-06-22 11:00:00+00:00,2026-06-22 13:00:00+00:00,193.8993,1,0,1,0,2,London,0,2.38428201308767,0.13237,0.12971405576076014,0.13768188847847967,0.0026559442392398453,1.3121510416187963,1.0015270504177878,20.991206409119076,0.1208094781491868,1.7558981640452724,8.39039178650115,0.0020141615599780956,0.050000000000006206,2.8666264333132148,1.2521664705246782,99.0,2026-06,2026
DYDX-USDT-SWAP,F4,2026-06-26 09:00:00+00:00,2026-06-26 10:00:00+00:00,-106.6087,0,1,0,0,1,London,4,1.098595667944863,0.14592,0.14201688998293122,0.15372622003413755,0.0039031100170687813,0.16140974690565688,1.788317513335671,15.940724544114726,0.07106208554927035,1.9809075642178784,4.5918299892420835,0.005995176118827231,0.8982758620689643,4.121952952881813,1.1935645219644129,44.0,2026-06,2026
DYDX-USDT-SWAP,F4,2026-06-26 11:00:00+00:00,2026-06-26 16:00:00+00:00,195.8309,1,0,1,0,5,London,4,1.1577262427687127,0.1464,0.1420612979954866,0.15507740400902678,0.004338702004513388,1.2423070297045007,0.3249819873624011,14.420756000263566,0.07892556449287447,1.909982838120815,9.93102860335314,0.006414810157568961,0.4621409921671002,2.5848687318620502,1.191593973084904,55.00000000000001,2026-06,2026
DYDX-USDT-SWAP,F4,2026-06-30 14:00:00+00:00,2026-06-30 15:00:00+00:00,194.2514,1,0,1,0,1,US,1,1.9884270394489332,0.15791,0.15454337904812196,0.16464324190375607,0.0033666209518780424,2.180227624350004,0.10990248242635711,17.04632492788607,0.06305492051077609,1.2080089168194406,7.8565528808524885,0.008493149626930822,0.6209016393442639,3.0321859077917206,1.1991591094373484,69.0,2026-06,2026
ETH-USDT-SWAP,F1,2026-03-04 09:00:00+00:00,2026-03-04 15:00:00+00:00,191.513,1,0,1,0,6,London,2,2.228418313610877,2062.98,2033.3925522328384,2122.1548955343233,29.58744776716157,1.6437713851743163,0.9253924236881458,15.184897963475667,0.06331169032401032,0.8428615445716622,5.215678998161873,0.0012732323013346244,0.3322692977365005,1.6611792154953429,-1.2303030783538116,70.0,2026-03,2026
ETH-USDT-SWAP,F3,2026-04-17 14:00:00+00:00,2026-04-18 00:00:00+00:00,-117.8512,0,1,0,0,10,US,4,2.6017385342123562,2435.82,2411.4251194034896,2484.609761193021,24.39488059651042,0.597871341993212,1.18098548939489,21.943399752806837,0.05617965231648966,0.7297950398774216,7.252786995313019,0.00392787992411305,0.29060838747783974,1.3844933473990713,-1.3158238259382806,90.0,2026-04,2026
ETH-USDT-SWAP,F5,2026-07-14 13:00:00+00:00,2026-07-14 22:00:00+00:00,186.4655,1,0,1,0,9,London,1,3.5373004842509315,1860.39,1843.747828522065,1893.6743429558703,16.642171477935072,1.129660274497579,0.3815607842053084,19.34213859329933,0.06405024915807016,0.8410828280405314,5.472491289542385,0.0017897067445807823,0.35446489434218853,1.5683214043265221,-1.1494689525893864,100.0,2026-07,2026
GRT-USDT-SWAP,F3,2026-05-11 10:00:00+00:00,2026-05-11 17:00:00+00:00,190.9652,1,0,1,0,7,London,0,1.456772943453814,0.02828,0.027899328318903262,0.029041343362193477,0.00038067168109673854,1.1295823181833307,0.5516564809732529,18.847059776706683,0.07120285068594051,1.329426655597575,6.266631622847517,0.0059690444932334885,0.16666666666666088,1.0626992561105142,1.691180029878224,84.0,2026-05,2026
INJ-USDT-SWAP,F3,2026-05-25 11:00:00+00:00,2026-05-25 12:00:00+00:00,193.272,1,0,1,0,1,London,0,2.278972883604061,5.43,5.331392447272724,5.6272151054545505,0.0986075527272755,1.490758019383836,0.36508359658379014,17.268188740639438,0.0857494507960348,1.3309255656032497,8.975612717498654,0.003968017274009922,0.6842105263157927,2.0697167755991264,0.21350860797202703,27.0,2026-05,2026
NEAR-USDT-SWAP,F1,2026-03-05 09:00:00+00:00,2026-03-05 10:00:00+00:00,-108.7575,0,1,0,0,1,London,3,0.8237970905488123,1.3139,1.2872618743068132,1.3671762513863739,0.02663812569318688,0.2102250009816652,1.0511250049083385,16.078133595237983,0.08295681546950529,1.2683795571733145,6.2900178292491855,0.005681818204542284,0.548850574712648,2.687673772011117,0.6858440495540398,30.0,2026-03,2026
OP-USDT-SWAP,F4,2026-06-03 11:00:00+00:00,2026-06-03 12:00:00+00:00,-106.7959,0,1,0,0,1,London,2,2.106540626262023,0.132,0.12856476903969985,0.13887046192060032,0.0034352309603001615,0.17466074535715578,1.6592770808929738,17.39170095481502,0.15877688934818632,2.1621820022823424,5.544800279935379,0.0018973478733380661,0.5254237288135611,4.577191621411961,1.1705686319513195,100.0,2026-06,2026
SUSHI-USDT-SWAP,F3,2026-05-08 10:00:00+00:00,2026-05-08 11:00:00+00:00,-114.5253,0,1,0,0,1,London,4,4.593052497001938,0.2433,0.2403099792006211,0.24928004159875775,0.002990020799378881,0.3511681257261245,2.240787087966674,21.69599796593233,0.067994086394735,1.290456999877989,6.317395250750319,0.004046095533493876,0.7093023255813949,3.6256323777403026,0.9839098007188296,100.0,2026-05,2026
