feat_a,val_a,feat_b,val_b,n,win_rate,profit_factor,expectancy_r
rsi14,0,session_code,1,225,0.35555555555555557,1.0231427628685132,0.06666666666666676
ema200_slope_pct,1,bb_width,0,258,0.35658914728682173,1.0218897127829145,0.06976744186046513
ema200_slope_pct,2,session_code,0,250,0.352,1.0212392117856364,0.05599999999999994
ema200_slope_pct,1,dist_from_ema200_pct,1,384,0.3541666666666667,1.0199433818526595,0.06250000000000011
dist_from_ema200_pct,1,realized_vol,0,222,0.35585585585585583,1.0174289887953591,0.06756756756756743
bb_width,1,rel_vol,2,186,0.34408602150537637,1.0144740933450334,0.032258064516129115
rsi14,0,rel_vol,0,342,0.3567251461988304,1.0144041749984223,0.07017543859649111
bb_width,0,regime_code,0,358,0.35195530726256985,1.0139547834574374,0.05586592178770955
rsi14,2,dist_from_low20_pct,1,182,0.34615384615384615,1.0129291101315951,0.038461538461538436
atr_rank_pct,1,hour_utc,1,170,0.34705882352941175,1.0127829400726696,0.04117647058823526
rsi14,1,regime_code,1,249,0.3493975903614458,1.0112436714466275,0.048192771084337394
dist_from_ema200_pct,2,realized_vol,0,135,0.34814814814814815,1.0104794912715396,0.0444444444444444
atr_rank_pct,1,session_code,0,263,0.34980988593155893,1.010381273934438,0.049429657794676785
bb_width,0,session_code,1,242,0.3512396694214876,1.0101642378642226,0.05371900826446285
atr_rank_pct,0,adx14,1,193,0.35233160621761656,1.0052282147359426,0.05699481865284961
rsi14,1,bb_width,0,232,0.34913793103448276,1.0051947627648568,0.04741379310344829
ema200_slope_pct,1,dist_from_ema200_pct,0,128,0.3515625,1.0019525196766543,0.0546875
dist_from_ema200_pct,1,regime_code,1,266,0.34962406015037595,1.001879975488466,0.048872180451127845
adx14,0,session_code,0,222,0.34684684684684686,1.0009551869441662,0.04054054054054057
dist_from_low20_pct,0,rel_vol,1,179,0.35195530726256985,1.0000257302698274,0.05586592178770955
realized_vol,0,regime_code,0,303,0.34983498349834985,0.9971196459354549,0.04950495049504955
rsi14,1,hour_utc,0,232,0.3448275862068966,0.993626257266101,0.034482758620689724
realized_vol,1,regime_code,1,302,0.3443708609271523,0.9934651056570937,0.0331125827814569
dist_from_ema200_pct,1,regime_code,0,329,0.3465045592705167,0.9934488611106256,0.03951367781155013
hour_utc,0,regime_code,1,329,0.3465045592705167,0.991180865990742,0.03951367781155013
bb_width,0,rel_vol,0,201,0.35323383084577115,0.9888936401273258,0.059701492537313494
regime_code,0,rel_vol,2,316,0.33860759493670883,0.9859854099980101,0.015822784810126556
adx14,1,regime_code,1,273,0.3443223443223443,0.9849300770666777,0.03296703296703296
dist_from_ema200_pct,2,session_code,1,275,0.3381818181818182,0.9826545852477541,0.014545454545454528
atr_rank_pct,1,rsi14,2,184,0.33695652173913043,0.9814304979779611,0.010869565217391242
atr_rank_pct,0,realized_vol,2,50,0.34,0.9805531750647823,0.02000000000000013
adx14,0,hour_utc,0,196,0.34183673469387754,0.9788321312162501,0.025510204081632626
rsi14,0,session_code,0,283,0.3462897526501767,0.9783278730221391,0.03886925795053009
dist_from_low20_pct,2,rel_vol,2,270,0.3333333333333333,0.9774278912128839,-1.1102230246251565e-16
bb_width,0,hour_utc,0,226,0.34513274336283184,0.9757395744865716,0.03539823008849552
ema200_slope_pct,2,realized_vol,1,212,0.33962264150943394,0.9743174505671529,0.01886792452830177
atr_rank_pct,1,adx14,1,227,0.3392070484581498,0.9732688436826653,0.017621145374449365
realized_vol,2,regime_code,1,274,0.3357664233576642,0.9730157639523982,0.007299270072992692
realized_vol,2,rel_vol,0,205,0.34146341463414637,0.9682557789792196,0.024390243902439157
dist_from_low20_pct,0,bb_width,0,397,0.345088161209068,0.9674074415463213,0.03526448362720391
adx14,2,dist_from_low20_pct,0,175,0.34285714285714286,0.9640324960235904,0.02857142857142858
