env,sym,fold,entry_time,exit_time,pnl,r_multiple,win,exit_type
E3,ADA-USDT-SWAP,F4,2026-06-20T16:00:00.000,2026-06-20T17:00:00.000,-118.7292,-1.0311,0,SL
E3,ADA-USDT-SWAP,F5,2026-06-29T01:00:00.000,2026-06-29T02:00:00.000,-115.5486,-1.0258,0,SL
E3,BNB-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,176.8333,2.0,1,TP
E3,BNB-USDT-SWAP,F2,2026-03-30T02:00:00.000,2026-03-30T08:00:00.000,180.1667,2.0,1,TP
E3,BNB-USDT-SWAP,F4,2026-05-29T17:00:00.000,2026-05-29T18:00:00.000,-130.0756,-1.05,0,SL
E3,BNB-USDT-SWAP,F5,2026-06-28T21:00:00.000,2026-06-28T22:00:00.000,-129.9794,-1.0499,0,SL
E3,BNB-USDT-SWAP,F5,2026-07-24T15:00:00.000,2026-07-24T19:00:00.000,175.0976,2.0,1,TP
E3,DOT-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,187.1437,2.0,1,TP
E3,DOT-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-117.9475,-1.0298,0,SL
E3,ARB-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,187.9313,2.0,1,TP
E3,ARB-USDT-SWAP,F4,2026-05-20T15:00:00.000,2026-05-20T16:00:00.000,-116.8923,-1.0281,0,SL
E3,ARB-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-115.5864,-1.0259,0,SL
E3,ARB-USDT-SWAP,F5,2026-06-29T00:00:00.000,2026-06-29T03:00:00.000,189.3283,2.0,1,TP
E3,OP-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T01:00:00.000,189.993,2.0,1,TP
E3,OP-USDT-SWAP,F4,2026-05-20T15:00:00.000,2026-05-21T02:00:00.000,188.2572,2.0,1,TP
E3,NEAR-USDT-SWAP,F1,2026-02-24T16:00:00.000,2026-02-25T01:00:00.000,189.8489,2.0,1,TP
E3,NEAR-USDT-SWAP,F2,2026-03-22T01:00:00.000,2026-03-22T11:00:00.000,-117.1965,-1.0286,0,SL
E3,ATOM-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,182.964,2.0,1,TP
E3,SUI-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,188.0989,2.0,1,TP
E3,SUI-USDT-SWAP,F4,2026-05-29T17:00:00.000,2026-05-29T18:00:00.000,-112.3937,-1.0206,0,SL
E3,SUI-USDT-SWAP,F5,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-114.1699,-1.0235,0,SL
E3,WIF-USDT-SWAP,F1,2026-03-11T14:00:00.000,2026-03-11T15:00:00.000,-110.6058,-1.0176,0,SL
E3,WIF-USDT-SWAP,F4,2026-06-24T15:00:00.000,2026-06-24T16:00:00.000,-112.3749,-1.0205,0,SL
E3,WIF-USDT-SWAP,F5,2026-07-10T17:00:00.000,2026-07-10T18:00:00.000,-112.585,-1.0209,0,SL
E3,PEPE-USDT-SWAP,F1,2026-02-08T13:00:00.000,2026-02-08T15:00:00.000,-111.9934,-1.0199,0,SL
E3,PEPE-USDT-SWAP,F2,2026-03-22T01:00:00.000,2026-03-22T18:00:00.000,-116.2896,-1.0271,0,SL
E3,PEPE-USDT-SWAP,F5,2026-07-01T15:00:00.000,2026-07-01T16:00:00.000,191.1273,2.0,1,TP
E3,ENA-USDT-SWAP,F3,2026-06-28T23:00:00.000,2026-06-29T02:00:00.000,192.083,2.0,1,TP
E3,UNI-USDT-SWAP,F2,2026-03-22T01:00:00.000,2026-03-22T08:00:00.000,-120.3175,-1.0338,0,SL
E3,UNI-USDT-SWAP,F2,2026-03-23T08:00:00.000,2026-03-23T09:00:00.000,-118.5975,-1.0309,0,SL
E3,UNI-USDT-SWAP,F2,2026-03-30T00:00:00.000,2026-03-30T02:00:00.000,188.8226,2.0,1,TP
E3,UNI-USDT-SWAP,F4,2026-06-10T14:00:00.000,2026-06-10T16:00:00.000,-114.2142,-1.0236,0,SL
