hyp,sym,ts,r,win,hour,dow,rsi14,vwap_dist,macd_hist,stochK,atr_rank,rel_vol,ema_dist_pct,bb_width,real_vol_20,prev_body_r,adx14,breadth,dist_hi48,green_streak
K1_vwap,BTC_USDT_SWAP,2026-04-14 13:00:00+00:00,-1.0,0,13,1,65.02850936736306,1.3537007113341242,26.694067176171135,89.82604481370663,69.0,2.5035638675882987,0.7392568321531873,0.1798466049961421,0.08732324811674096,0.08102246861891345,18.523680242443962,0.8,-0.4319934192779873,4
K1_vwap,BTC_USDT_SWAP,2026-04-15 00:00:00+00:00,-1.0,0,0,2,71.25033659456163,0.7576814608967671,34.9225565930267,70.31289028048336,38.0,4.703351550096155,0.28741504947223057,0.3400274551784261,0.1555255768774974,0.09865033920332877,12.719818023625695,1.0,-1.7116072406237026,2
K1_vwap,BTC_USDT_SWAP,2026-04-15 11:50:00+00:00,-1.0,0,11,2,60.28008427314421,0.9118764831579989,22.12581909831008,94.48965748014503,93.0,1.4051114572702377,0.10374960338621136,0.24228888447087424,0.11249640385417577,0.06737725592286414,15.968211370350291,1.0,-1.8820731507298794,5
K1_vwap,BTC_USDT_SWAP,2026-04-15 14:15:00+00:00,1.5,1,14,2,43.693070028419314,0.19113129211963356,-12.114934578162725,47.9947286668051,100.0,2.9885256670713023,0.009371306040369416,0.4611432650227019,0.15533249362546042,0.27986408914628524,17.498633230725414,1.0,-0.7880160521292812,3
K1_vwap,BTC_USDT_SWAP,2026-04-15 14:20:00+00:00,-1.0,0,14,2,53.430314984898004,1.691896529611993,14.327699536769472,63.3753279182666,100.0,1.494118737659576,0.3662176026180008,0.4764265588551841,0.1737944626386196,0.014166618320270814,18.044607963443763,1.0,-0.4303501966359091,4
K1_vwap,BTC_USDT_SWAP,2026-04-15 17:25:00+00:00,-1.0,0,17,2,53.04395604395648,0.16175785478847315,16.025506880652202,37.538117533133956,60.0,1.994477041243454,0.02122589531501336,0.23193645986390796,0.1075504891054521,0.006353119922588778,9.168369934478985,1.0,-0.8269684338465422,1
K1_vwap,BTC_USDT_SWAP,2026-04-15 18:00:00+00:00,1.5,1,18,2,74.38423645320196,0.9584333936891549,19.7482733000501,81.31331806000378,55.00000000000001,1.9248913869358242,0.17597369001300872,0.23510485114403268,0.11298833898005646,0.02631593152999476,10.778638712124295,1.0,-0.6745053315236005,4
K1_vwap,BTC_USDT_SWAP,2026-04-16 00:30:00+00:00,-1.0,0,0,3,57.82604155789897,1.496390242184602,-1.447067155749565,80.94119670858765,45.0,1.6178017135137812,0.5308063945297588,0.29000225505688393,0.12618977056774247,0.12555331991952492,14.429468368747846,0.8,-0.5790371795826088,2
K1_vwap,BTC_USDT_SWAP,2026-04-16 02:10:00+00:00,1.5,1,2,3,49.66711051930756,0.11736837822432339,6.0477266360793,31.19708484307237,9.0,1.9372927935913282,0.24321834109859844,0.17492016644492173,0.08776179223796023,0.12849212214529313,9.873216079974641,0.8,-0.8121405105414925,1
K1_vwap,BTC_USDT_SWAP,2026-04-16 02:25:00+00:00,1.5,1,2,3,64.74541519535387,1.7432191613668215,23.62915928114617,91.27343514458963,23.0,2.848819267784537,0.5283952257415621,0.20846321447819557,0.10188416665871433,0.13789299503585215,10.184529962862644,1.0,-0.5196317126848649,2
